X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8849469.26823333,5415628.35618572,7805822,1350654,2013,2013/03/30 04:00:00+00,1214,12,JANE ST,DALRYMPLE DR,<Null>,Major Arterial,Etobicoke York,5,12,43.677233,-79.496135,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,40 to 44,Major,<Null>,South,Bicycle,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,Motorist turned left across cyclists path.,Driving Properly,Normal,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D12,111,Rockcliffe-Smythe (111),1
-8838276.31607305,5411275.21190241,7812849,1353734,2013,2013/04/04 04:00:00+00,2000,20,QUEEN St W,SPADINA Ave,<Null>,Major Arterial,Toronto and East York,10,52,43.648944,-79.395587,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),2
-8838276.31607305,5411275.21190241,7812850,1353734,2013,2013/04/04 04:00:00+00,2000,20,QUEEN St W,SPADINA Ave,<Null>,Major Arterial,Toronto and East York,10,52,43.648944,-79.395587,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,None,<Null>,West,Street Car,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),3
-8838276.31607305,5411275.21190241,7812851,1353734,2013,2013/04/04 04:00:00+00,2000,20,QUEEN St W,SPADINA Ave,<Null>,Major Arterial,Toronto and East York,10,52,43.648944,-79.395587,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Approaching,Passenger,55 to 59,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),4
-8838276.31607305,5411275.21190241,7812852,1353734,2013,2013/04/04 04:00:00+00,2000,20,QUEEN St W,SPADINA Ave,<Null>,Major Arterial,Toronto and East York,10,52,43.648944,-79.395587,Mid-Block,<Null>,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Approaching,Moped Driver,55 to 59,Major,<Null>,East,Moped,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D52,78,Kensington-Chinatown (78),5
-8843186.17353398,5412814.09691761,7814391,1354394,2013,2013/04/05 04:00:00+00,2259,22,BLOOR ST W,MARGUERETTA ST,<Null>,Major Arterial,Toronto and East York,9,11,43.658946,-79.439693,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,unknown,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Improper Passing,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D11,83,Dufferin Grove (83),6
-8843186.17353398,5412814.09691761,7814392,1354394,2013,2013/04/05 04:00:00+00,2259,22,BLOOR ST W,MARGUERETTA ST,<Null>,Major Arterial,Toronto and East York,9,11,43.658946,-79.439693,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,<Null>,West,Bicycle,Going Ahead,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D11,83,Dufferin Grove (83),7
-8836428.74648435,5414198.88172271,7813700,1354069,2013,2013/04/08 04:00:00+00,1722,17,JARVIS ST,EARL PL,<Null>,Major Arterial,Toronto and East York,13,51,43.667945,-79.37899,Intersection,<Null>,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D51,74,North St.James Town (74),8
-8836428.74648435,5414198.88172271,7813701,1354069,2013,2013/04/08 04:00:00+00,1722,17,JARVIS ST,EARL PL,<Null>,Major Arterial,Toronto and East York,13,51,43.667945,-79.37899,Intersection,<Null>,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D51,74,North St.James Town (74),9
-8836428.74648435,5414198.88172271,7813702,1354069,2013,2013/04/08 04:00:00+00,1722,17,JARVIS ST,EARL PL,<Null>,Major Arterial,Toronto and East York,13,51,43.667945,-79.37899,Intersection,<Null>,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,<Null>,North,Bicycle,Changing Lanes,<Null>,<Null>,<Null>,<Null>,<Null>,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Improper Lane Change,Inattentive,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D51,74,North St.James Town (74),10
